"date","tank","bbm","artillery","multi_barrel_rocket_launcher","air_defense_system","fixed_wing_aircraft","helicopter","uav","cruise_missile","ships","automobile_and_oil_tanker","special_equipment","personnel_total","personnel_increase"
"2023-1-1","3031","6084","2021","423","213","283","269","1792","723","16","4720","181","106720","760"
"2023-1-2","3031","6093","2027","423","213","283","269","1836","723","16","4725","181","107440","720"
"2023-1-3","3036","6100","2033","424","214","283","270","1839","723","16","4735","181","108190","750"
"2023-1-4","3038","6106","2039","424","215","283","270","1842","723","16","4745","181","108910","720"
"2023-1-5","3041","6108","2051","426","215","284","271","1844","723","16","4759","182","109720","810"
"2023-1-6","3064","6124","2059","431","215","285","272","1844","723","16","4797","182","110250","530"
"2023-1-7","3066","6125","2062","431","217","285","272","1844","723","16","4798","182","110740","490"
"2023-1-8","3069","6130","2065","431","217","285","272","1849","723","16","4801","183","111170","430"
"2023-1-9","3080","6147","2069","434","217","285","275","1856","723","16","4809","183","111760","590"
"2023-1-10","3084","6154","2073","434","217","285","275","1860","723","17","4817","183","112470","710"
"2023-1-11","3094","6159","2078","437","217","285","275","1862","723","17","4826","184","112960","490"
"2023-1-12","3094","6159","2082","437","218","285","276","1865","723","17","4826","184","113390","430"
"2023-1-13","3098","6167","2086","437","218","286","276","1865","723","17","4833","184","114130","740"
"2023-1-14","3104","6173","2090","437","219","286","276","1867","723","17","4846","186","114660","530"
"2023-1-15","3106","6183","2094","437","219","286","276","1872","749","17","4846","187","115290","630"
"2023-1-16","3118","6204","2099","438","220","286","276","1872","749","17","4870","190","116080","790"
"2023-1-17","3121","6215","2104","441","220","286","276","1872","749","17","4877","190","116950","870"
"2023-1-18","3130","6225","2108","442","220","287","276","1876","749","17","4889","190","117770","820"
"2023-1-19","3136","6235","2122","442","220","287","277","1882","749","17","4896","190","118530","760"
"2023-1-20","3139","6241","2129","442","220","287","277","1886","749","17","4903","190","119300","770"
"2023-1-21","3140","6256","2135","443","220","287","277","1891","749","17","4918","193","120160","860"
"2023-1-22","3145","6268","2144","445","220","287","277","1892","749","17","4932","193","120760","600"
"2023-1-23","3150","6276","2146","447","220","287","277","1894","749","18","4936","193","121480","720"
"2023-1-24","3152","6284","2148","448","220","289","281","1897","749","18","4944","194","122170","690"
"2023-1-25","3161","6307","2154","450","220","290","281","1902","749","18","4967","194","123080","910"
"2023-1-26","3175","6334","2169","452","220","292","282","1908","749","18","4986","195","123860","780"
